涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比
2023-11-23,002728.SZ,特一药业,,19.18,4.24,25611,49121898,4.00%
2023-11-23,600052.SH,东望时代,,5.43,-0.18,5206,2826858,1.00%
2023-11-23,600319.SH,亚星化学,,5.53,-1.25,5918,3272654,2.00%
2023-11-23,001373.SZ,翔腾新材,,44.4,-1.55,1179,5234760,2.00%
2023-11-23,603099.SH,长白山,,15.5,-2.27,3453,5352150,1.00%
2023-11-23,600838.SH,上海九百,,8.31,-2.35,14451,12008781,2.00%
2023-11-23,002869.SZ,金溢科技,,23.59,-3.4,7721,18213839,2.00%
2023-11-23,603533.SH,掌阅科技,,25.88,-4.01,6543,16933284,1.00%
2023-11-23,603021.SH,山东华鹏,,6.42,-4.46,42764,27454488,4.00%
2023-11-23,002331.SZ,皖通科技,,7.96,-4.67,15035,11967860,2.00%
2023-11-23,000045.SZ,深纺织A,,12.25,-5.11,13235,16212875,3.00%
2023-11-23,000510.SZ,新金路,,5.16,-5.15,11922,6151752,2.00%
2023-11-23,000029.SZ,深深房A,,12.69,-6.76,9808,12446352,3.00%
2023-11-24,000625.SZ,长安汽车,,17.73,1.9,195689,346956597,3.00%
2023-11-24,600222.SH,太龙药业,,7.48,1.77,20814,15568872,1.00%
2023-11-24,000710.SZ,贝瑞基因,,13.06,0.08,22365,29208690,2.00%
2023-11-24,002848.SZ,高斯贝尔,,12.1,0.08,3284,3973640,1.00%
2023-11-24,001331.SZ,胜通能源,,18.86,0.0,3276,6178536,4.00%
2023-11-24,603569.SH,长久物流,,14.39,-0.83,6588,9480132,1.00%
2023-11-24,601777.SH,力帆科技,,3.99,-0.99,17908,7145292,2.00%
2023-11-24,002962.SZ,五方光电,,14.3,-1.11,6381,9124830,2.00%
2023-11-24,000628.SZ,高新发展,,58.61,-1.33,11423,66950203,2.00%
2023-11-24,002655.SZ,共达电声,,13.4,-1.47,5836,7820240,2.00%
2023-11-24,002189.SZ,中光学,,19.72,-1.55,3026,5967272,1.00%
2023-11-24,002712.SZ,思美传媒,,8.16,-2.16,41470,33839520,2.00%
2023-11-24,002363.SZ,隆基机械,,9.2,-2.34,19301,17756920,2.00%
2023-11-24,301215.CY,中汽股份,,7.32,-2.92,30943,22650276,3.00%
2023-11-24,603178.SH,圣龙股份,,45.33,-4.77,29019,131543127,4.00%
2023-11-24,000925.SZ,众合科技,,10.08,-5.0,62596,63096768,3.00%
2023-11-24,605179.SH,一鸣食品,,13.17,-5.86,8758,11534286,3.00%
2023-11-24,603488.SH,展鹏科技,,10.31,-7.53,27959,28825729,4.00%
2023-11-24,600689.SH,上海三毛,,11.51,-9.94,18533,21331483,3.00%
2023-11-24,001278.SZ,一彬科技,,28.31,-9.98,17987,50921197,6.00%
2023-11-24,002238.SZ,天威视讯,,13.51,-9.99,119426,161344526,6.00%
2023-11-24,002855.SZ,捷荣技术,,34.15,-9.99,24777,84613455,3.00%
2023-11-24,603499.SH,翔港科技,,11.59,-10.02,9995,11584205,3.00%
2023-11-27,002363.SZ,隆基机械,,10.23,4.39,34954,35757942,4.00%
2023-11-27,601929.SH,吉视传媒,,2.37,3.95,154669,36656553,2.00%
2023-11-27,002054.SZ,德美化工,,7.29,0.0,4893,3566997,2.00%
2023-11-27,000639.SZ,西王食品,,4.69,-0.42,10409,4881821,2.00%
2023-11-27,002917.SZ,金奥博,,10.52,-1.96,18341,19294732,3.00%
2023-11-27,603726.SH,朗迪集团,,17.08,-2.23,4797,8193276,2.00%
2023-11-27,600463.SH,空港股份,,10.2,-3.13,8086,8247720,3.00%
2023-11-27,600792.SH,云煤能源,,5.84,-3.63,19571,11429464,1.00%
2023-11-27,000656.SZ,金科股份,,1.82,-5.7,287682,52358124,2.00%
2023-11-27,600287.SH,江苏舜天,,6.08,-6.32,41366,25150528,4.00%
2023-11-27,002275.SZ,桂林三金,,16.8,-7.08,9712,16316160,2.00%
2023-11-27,600159.SH,大龙地产,,4.17,-9.94,315479,131554743,9.00%
2023-11-27,002137.SZ,实益达,,7.97,-9.94,122230,97417310,4.00%
2023-11-27,603598.SH,引力传媒,,15.78,-9.98,12693,20029554,1.00%
2023-11-28,605228.SH,神通科技,,13.81,3.06,7023,9698763,4.00%
