涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比
2024-11-21,002442.SZ,龙星化工,,5.73,3.62,34706,19886538,5.00%
2024-11-21,300231.CY,银信科技,,13.6,1.57,15866,21577760,2.00%
2024-11-21,300058.CY,蓝色光标,,10.54,0.96,133152,140342208,2.00%
2024-11-21,000815.SZ,美利云,,12.0,0.25,33847,40616400,2.00%
2024-11-21,688382.KC,益方生物,,10.75,0.19,3303,3551606,1.00%
2024-11-21,002115.SZ,三维通信,,6.18,0.0,9602,5934036,1.00%
2024-11-21,603949.SH,雪龙集团,,12.6,-0.08,2772,3492720,3.00%
2024-11-21,301592.CY,六九一二,,174.3,-0.11,739,12880770,1.00%
2024-11-21,601900.SH,南方传媒,,15.37,-0.19,3844,5908228,1.00%
2024-11-21,603028.SH,赛福天,,7.2,-0.28,4757,3425040,2.00%
2024-11-21,600415.SH,小商品城,,12.66,-0.63,20085,25427610,1.00%
2024-11-21,600180.SH,瑞茂通,,5.0,-1.19,8599,4299500,2.00%
2024-11-21,002292.SZ,奥飞娱乐,,7.28,-1.49,12150,8845200,1.00%
2024-11-21,601360.SH,三六零,,11.7,-1.68,52907,61901190,1.00%
2024-11-21,603578.SH,三星新材,,14.3,-1.92,1411,2017730,1.00%
2024-11-21,002824.SZ,和胜股份,,22.55,-1.96,16771,37818605,3.00%
2024-11-21,605167.SH,利柏特,,10.29,-2.0,4824,4963896,1.00%
2024-11-21,601121.SH,宝地矿业,,7.1,-2.07,10744,7628240,3.00%
2024-11-21,003041.SZ,真爱美家,,13.53,-2.1,2954,3996762,2.00%
2024-11-21,002496.SZ,辉丰股份,,2.23,-2.19,31658,7059734,3.00%
2024-11-21,001306.SZ,夏厦精密,,65.6,-2.66,1687,11066720,2.00%
2024-11-21,301178.CY,天亿马,,31.63,-2.74,4489,14198707,3.00%
2024-11-21,002837.SZ,英维克,,35.0,-3.42,9789,34261500,2.00%
2024-11-21,600228.SH,返利科技,,6.9,-3.5,16143,11138670,1.00%
2024-11-21,300214.CY,日科化学,,6.25,-3.55,19396,12122500,4.00%
2024-11-21,002263.SZ,大东南,,2.68,-3.6,33067,8861956,2.00%
2024-11-21,600148.SH,长春一东,,24.16,-4.09,4492,10852672,2.00%
2024-11-21,603398.SH,沐邦高科,,22.94,-6.44,16022,36754468,3.00%
2024-11-22,000695.SZ,滨海能源,,15.36,9.95,15153,23275008,5.00%
2024-11-22,002045.SZ,国光电器,,21.9,5.39,89672,196381680,3.00%
2024-11-22,603079.SH,圣达生物,,19.85,2.96,11655,23135175,4.00%
2024-11-22,000409.SZ,云鼎科技,,9.69,1.68,7927,7681263,2.00%
2024-11-22,002006.SZ,精工科技,,16.66,0.42,13181,21959546,1.00%
2024-11-22,603331.SH,百达精工,,10.4,0.19,4767,4957680,2.00%
2024-11-22,600844.SH,丹化科技,,3.4,0.0,44436,15108240,3.00%
2024-11-22,002856.SZ,美芝股份,,10.61,-0.56,1346,1428106,1.00%
2024-11-22,000890.SZ,法尔胜,,3.79,-0.79,8171,3096809,1.00%
2024-11-22,002131.SZ,利欧股份,,2.44,-1.21,186891,45601404,1.00%
2024-11-22,000509.SZ,华塑控股,,3.71,-1.33,6994,2594774,2.00%
2024-11-22,000503.SZ,国新健康,,14.0,-1.41,22829,31960600,1.00%
2024-11-22,603706.SH,东方环宇,,20.5,-1.49,5372,11012600,2.00%
2024-11-22,600734.SH,实达集团,,4.35,-1.58,81161,35305035,2.00%
2024-11-22,002956.SZ,西麦食品,,13.95,-1.62,6431,8971245,4.00%
2024-11-22,002137.SZ,实益达,,6.6,-1.79,13590,8969400,2.00%
2024-11-22,002587.SZ,奥拓电子,,6.73,-1.9,22517,15153941,2.00%
2024-11-22,003004.SZ,声迅股份,,25.65,-2.1,1320,3385800,2.00%
2024-11-22,300176.CY,鸿特科技,,8.77,-2.12,17742,15559734,2.00%
2024-11-22,000829.SZ,天音控股,,14.0,-2.17,10918,15285200,1.00%
2024-11-22,002149.SZ,西部材料,,17.0,-2.3,3510,5967000,1.00%
2024-11-22,002962.SZ,五方光电,,17.32,-2.53,9622,16665304,1.00%
2024-11-22,002673.SZ,西部证券,,9.46,-2.57,61420,58103320,2.00%
2024-11-22,002208.SZ,合肥城建,,9.5,-2.66,11680,11096000,1.00%
2024-11-22,603660.SH,苏州科达,,7.16,-2.72,11670,8355720,1.00%
2024-11-22,600345.SH,长江通信,,28.5,-2.73,11228,31999800,2.00%
2024-11-22,300385.CY,雪浪环境,,5.77,-2.86,14068,8117236,3.00%
2024-11-22,002181.SZ,粤传媒,,4.7,-2.89,27534,12940980,2.00%
2024-11-22,002163.SZ,海南发展,,8.71,-2.9,5418,4719078,1.00%
2024-11-22,603332.SH,苏州龙杰,,8.95,-3.14,4813,4307635,2.00%
2024-11-22,002194.SZ,武汉凡谷,,15.0,-3.16,63973,95959500,2.00%
2024-11-22,001269.SZ,欧晶科技,,31.6,-3.28,1646,5201360,1.00%
2024-11-22,300340.CY,科恒股份,,12.92,-3.51,12775,16505300,2.00%
2024-11-22,601595.SH,上海电影,,29.32,-3.9,2474,7253768,1.00%
2024-11-22,603915.SH,国茂股份,,12.8,-4.05,11542,14773760,2.00%
2024-11-22,600382.SH,广东明珠,,4.6,-4.17,19351,8901460,4.00%
2024-11-22,002079.SZ,苏州固锝,,12.0,-4.23,27936,33523200,2.00%
2024-11-22,605336.SH,帅丰电器,,12.73,-4.36,2538,3230874,1.00%
2024-11-22,002981.SZ,朝阳科技,,26.18,-4.94,1962,5136516,1.00%
2024-11-22,002575.SZ,群兴玩具,,6.25,-5.02,11991,7494375,3.00%
2024-11-22,300459.CY,汤姆猫,,6.16,-5.38,186797,115066952,2.00%
2024-11-22,301505.CY,苏州规划,,27.5,-6.24,4966,13656500,3.00%
2024-11-22,002583.SZ,海能达,,22.7,-9.2,249242,565779340,3.00%
