涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,开板次数,是否新股,近一年涨停封板率
2023-10-27,603768.SH,常青股份,27.35,09:10:00,10:10:03,,0,,,10.42亿,17.24,0.0万,0.0万手,-0.26,55亿,2.0,0,0.78
2023-10-27,600853.SH,龙建股份,4.78,09:10:02,09:10:44,,0,,,11.52亿,22.47,0.0万,0.0万手,-1.04,48亿,1.0,0,0.71
2023-10-27,605055.SH,迎丰股份,7.47,09:10:04,09:10:43,,0,,,2.318亿,30.55,0.0万,0.0万手,4.04,7亿,1.0,0,0.5
2023-10-27,002991.SZ,甘源食品,78.05,09:10:09,09:10:51,,0,,,3.32亿,8.56,0.0万,0.0万手,6.12,38亿,2.0,0,1.0
2023-10-27,002654.SZ,万润科技,15.74,09:10:09,09:10:57,,0,,,30.92亿,24.66,0.0万,0.0万手,4.93,123亿,1.0,0,0.74
2023-10-27,003039.SZ,顺控发展,18.98,09:10:09,09:10:51,,0,,,11.42亿,46.04,0.0万,0.0万手,0.74,23亿,5.0,0,1.0
2023-10-27,605005.SH,合兴股份,18.41,09:10:14,09:10:17,,0,,,1.462亿,15.17,0.0万,0.0万手,3.43,9亿,1.0,0,0.67
2023-10-27,002316.SZ,亚联发展,6.72,09:10:18,09:10:03,,0,,,11.89亿,52.28,0.0万,0.0万手,-4.14,21亿,1.0,0,0.7
2023-10-27,600239.SH,云南城投,2.84,09:10:52,09:10:31,,0,,,7.232亿,16.19,0.0万,0.0万手,7.98,45亿,2.0,0,0.62
2023-10-27,300210.CY,森远股份,4.77,09:10:54,09:10:57,,0,,,3.886亿,17.02,0.0万,0.0万手,15.22,23亿,1.0,0,
2023-10-27,603167.SH,渤海轮渡,7.54,09:10:54,09:10:36,,0,,,3.337亿,9.3,0.0万,0.0万手,6.8,35亿,2.0,0,
2023-10-27,600326.SH,西藏天路,6.11,10:10:11,10:10:17,,0,,,12.23亿,16.77,0.0万,0.0万手,6.82,72亿,12.0,0,0.38
